State,Constituency Type,Nominations Filed - No. Of Seats,Nominations Filed - M,Nominations Filed - F,Nominations Filed - TG,Nominations Filed - Total,Nominations Rejected - M,Nominations Rejected - F,Nominations Rejected - TG,Nominations Rejected - Total,Nominations Withdrawn - M,Nominations Withdrawn - F,Nominations Withdrawn - TG,Nominations Withdrawn - Total,Contesting Candidates - M,Contesting Candidates - F,Contesting Candidates - TG,Contesting Candidates - Total,Deposit Forfieted - M,Deposit Forfieted - F,Deposit Forfieted - TG,Deposit Forfieted - Total
Andhra Pradesh,GEN,20,490,70,0,560,116,34,0,150,36,5,0,41,338,31,0,369,303,26,0,329
Andhra Pradesh,SC,4,91,12,0,103,18,7,0,25,4,2,0,6,69,3,0,72,61,3,0,64
Andhra Pradesh,ST,1,18,5,0,23,7,1,0,8,2,0,0,2,9,4,0,13,9,2,0,11
Arunachal Pradesh,GEN,2,14,1,0,15,1,0,0,1,0,0,0,0,13,1,0,14,9,1,0,10
Assam,GEN,11,121,12,0,133,11,1,0,12,2,1,0,3,108,10,0,118,87,7,0,94
Assam,SC,1,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,6,0,0,6
Assam,ST,2,20,2,0,22,1,0,0,1,4,0,0,4,15,2,0,17,10,2,0,12
Bihar,GEN,34,659,47,0,706,253,9,0,262,11,4,0,15,395,34,0,429,332,26,0,358
Bihar,SC,6,88,7,0,95,24,2,0,26,1,0,0,1,63,5,0,68,53,3,0,56
Goa,GEN,2,16,4,0,20,3,1,0,4,0,0,0,0,13,3,0,16,10,2,0,12
Gujarat,GEN,19,329,27,0,356,68,11,0,79,53,1,0,54,208,15,0,223,177,8,0,185
Gujarat,SC,2,22,3,0,25,7,1,0,8,0,0,0,0,15,2,0,17,11,2,0,13
Gujarat,ST,4,34,3,0,37,11,1,0,12,0,0,0,0,23,2,0,25,16,1,0,17
Haryana,GEN,8,223,28,0,251,34,13,0,47,12,2,0,14,177,13,0,190,161,13,0,174
Haryana,SC,2,40,6,0,46,8,3,0,11,2,0,0,2,30,3,0,33,28,1,0,29
Himachal Pradesh,GEN,3,40,3,0,43,10,0,0,10,1,0,0,1,29,3,0,32,24,2,0,26
Himachal Pradesh,SC,1,7,1,0,8,0,1,0,1,2,0,0,2,5,0,0,5,3,0,0,3
Karnataka,GEN,21,508,41,0,549,88,5,0,93,72,2,0,74,348,34,0,382,314,26,0,340
Karnataka,SC,5,112,11,0,123,24,4,0,28,21,0,0,21,67,7,0,74,57,7,0,64
Karnataka,ST,2,20,2,0,22,1,0,0,1,2,1,0,3,17,1,0,18,13,1,0,14
Kerala,GEN,18,227,32,0,259,60,8,0,68,10,1,0,11,157,23,0,180,116,18,0,134
Kerala,SC,2,18,4,0,22,5,2,0,7,1,0,0,1,12,2,0,14,9,0,0,9
Madhya Pradesh,GEN,19,339,22,1,362,33,3,0,36,40,4,0,44,266,15,1,282,231,12,1,244
Madhya Pradesh,SC,4,34,5,0,39,3,2,0,5,3,0,0,3,28,3,0,31,21,2,0,23
Madhya Pradesh,ST,6,56,10,0,66,3,1,0,4,5,1,0,6,48,8,0,56,39,5,0,44
Maharashtra,GEN,39,1311,147,1,1459,265,30,0,295,191,27,0,218,855,90,1,946,785,78,1,864
Maharashtra,SC,5,187,21,0,208,28,4,0,32,38,4,0,42,121,13,0,134,113,11,0,124
Maharashtra,ST,4,54,13,0,67,8,3,0,11,13,2,0,15,33,8,0,41,27,5,0,32
Manipur,GEN,1,7,0,0,7,1,0,0,1,0,0,0,0,6,0,0,6,3,0,0,3
Manipur,ST,1,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,2
Meghalaya,ST,2,9,2,0,11,1,0,0,1,0,0,0,0,8,2,0,10,5,0,0,5
Mizoram,ST,1,5,1,0,6,0,0,0,0,0,0,0,0,5,1,0,6,2,1,0,3
Nagaland,GEN,1,4,0,0,4,1,0,0,1,0,0,0,0,3,0,0,3,1,0,0,1
Odisha,GEN,13,129,23,0,152,19,2,0,21,2,1,0,3,108,20,0,128,87,12,0,99
Odisha,SC,3,26,7,0,33,0,0,0,0,1,0,0,1,25,7,0,32,21,4,0,25
Odisha,ST,5,46,6,0,52,3,0,0,3,2,0,0,2,41,6,0,47,29,5,0,34
Punjab,GEN,9,306,53,0,359,61,27,0,88,13,8,0,21,232,18,0,250,205,16,0,221
Punjab,SC,4,89,18,0,107,17,8,0,25,2,2,0,4,70,8,0,78,62,6,0,68
Rajasthan,GEN,18,277,17,1,295,26,4,1,31,45,2,0,47,206,11,0,217,174,6,0,180
Rajasthan,SC,4,21,7,0,28,0,0,0,0,0,0,0,0,21,7,0,28,16,4,0,20
Rajasthan,ST,3,23,1,0,24,1,0,0,1,2,0,0,2,20,1,0,21,14,1,0,15
Sikkim,GEN,1,13,1,0,14,0,0,0,0,0,0,0,0,13,1,0,14,10,1,0,11
Tamil Nadu,GEN,32,1109,129,0,1238,266,51,0,317,53,14,0,67,790,64,0,854,723,58,0,781
Tamil Nadu,SC,7,149,20,0,169,60,5,0,65,6,2,0,8,83,13,0,96,69,12,0,81
Tripura,GEN,1,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,7,0,0,7
Tripura,ST,1,7,2,0,9,0,0,0,0,0,0,0,0,7,2,0,9,6,1,0,7
Uttar Pradesh,GEN,63,1284,123,1,1408,630,63,1,694,18,5,0,23,636,55,0,691,517,40,0,557
Uttar Pradesh,SC,17,218,35,0,253,77,9,0,86,6,1,0,7,135,25,0,160,107,17,0,124
West Bengal,GEN,30,373,64,1,438,38,7,0,45,12,1,0,13,323,56,1,380,270,42,1,313
West Bengal,SC,10,95,14,0,109,5,0,0,5,0,1,0,1,90,13,0,103,75,8,0,83
West Bengal,ST,2,22,3,0,25,1,0,0,1,0,0,0,0,21,3,0,24,17,3,0,20
Chhattisgarh,GEN,6,173,21,0,194,16,1,0,17,16,2,0,18,141,18,0,159,132,15,0,147
Chhattisgarh,SC,1,22,7,0,29,9,0,0,9,1,1,0,2,12,6,0,18,11,5,0,16
Chhattisgarh,ST,4,45,5,0,50,3,0,0,3,4,0,0,4,38,5,0,43,32,3,0,35
Jharkhand,GEN,8,194,20,1,215,38,3,0,41,6,2,0,8,150,15,1,166,136,12,1,149
Jharkhand,SC,1,10,1,0,11,0,0,0,0,2,0,0,2,8,1,0,9,7,0,0,7
Jharkhand,ST,5,74,19,0,93,19,4,0,23,1,0,0,1,54,15,0,69,47,12,0,59
Uttarakhand,GEN,4,52,3,0,55,7,0,0,7,0,0,0,0,45,3,0,48,37,2,0,39
Uttarakhand,SC,1,7,1,0,8,0,0,0,0,1,0,0,1,6,1,0,7,4,1,0,5
Telangana,GEN,12,614,70,1,685,186,29,1,216,71,11,0,82,357,30,0,387,332,27,0,359
Telangana,SC,3,137,18,0,155,33,4,0,37,14,1,0,15,90,13,0,103,82,12,0,94
Telangana,ST,2,45,8,0,53,14,1,0,15,3,0,0,3,28,7,0,35,26,5,0,31
Andaman & Nicobar Islands,GEN,1,13,2,0,15,2,0,0,2,1,0,0,1,10,2,0,12,8,2,0,10
Chandigarh,GEN,1,25,2,0,27,7,0,0,7,1,0,0,1,17,2,0,19,15,2,0,17
Dadra & Nagar Haveli and Daman & Diu,GEN,1,7,1,0,8,0,1,0,1,0,0,0,0,7,0,0,7,5,0,0,5
Dadra & Nagar Haveli and Daman & Diu,ST,1,8,1,0,9,3,0,0,3,1,0,0,1,4,1,0,5,3,0,0,3
NCT OF Delhi,GEN,6,192,34,1,227,73,15,0,88,3,0,0,3,116,19,1,136,106,17,1,124
NCT OF Delhi,SC,1,31,6,1,38,10,1,0,11,0,1,0,1,21,4,1,26,19,4,1,24
Lakshadweep,ST,1,5,0,0,5,1,0,0,1,0,0,0,0,4,0,0,4,2,0,0,2
Puducherry,GEN,1,28,6,0,34,5,2,0,7,0,1,0,1,23,3,0,26,21,3,0,24
Jammu and Kashmir,GEN,5,136,8,0,144,35,1,0,36,8,0,0,8,93,7,0,100,83,6,0,89
Ladakh,GEN,1,8,0,0,8,3,0,0,3,2,0,0,2,3,0,0,3,0,0,0,0
,Grand Total,542,11137,1298,9,12444,2761,385,3,3149,823,113,0,936,7553,800,6,8359,6555,629,6,7190
